filepath,label
purple hairstreak\003.jpg,purple hairstreak
sootywing\096.jpg,sootywing
orange oakleaf\072.jpg,orange oakleaf
indra swallow\032.jpg,indra swallow
grey hairstreak\043.jpg,grey hairstreak
chestnut\031.jpg,chestnut
zebra long wing\014.jpg,zebra long wing
paper kite\011.jpg,paper kite
clodius parnassian\041.jpg,clodius parnassian
orchard swallow\032.jpg,orchard swallow
peacock\010.jpg,peacock
yellow swallow tail\031.jpg,yellow swallow tail
sootywing\036.jpg,sootywing
grey hairstreak\027.jpg,grey hairstreak
morning cloak\030.jpg,morning cloak
zebra long wing\087.jpg,zebra long wing
gold banded\068.jpg,gold banded
banded peacock\031.jpg,banded peacock
malachite\050.jpg,malachite
painted lady\059.jpg,painted lady
paper kite\033.jpg,paper kite
painted lady\099.jpg,painted lady
copper tail\015.jpg,copper tail
skipper\091.jpg,skipper
red spotted purple\083.jpg,red spotted purple
ulyses\012.jpg,ulyses
viceroy\019.jpg,viceroy
southern dogface\079.jpg,southern dogface
sixspot burnet\022.jpg,sixspot burnet
peacock\070.jpg,peacock
orange tip\048.jpg,orange tip
chestnut\076.jpg,chestnut
painted lady\009.jpg,painted lady
skipper\119.jpg,skipper
clodius parnassian\036.jpg,clodius parnassian
southern dogface\026.jpg,southern dogface
scarce swallow\042.jpg,scarce swallow
clodius parnassian\018.jpg,clodius parnassian
copper tail\024.jpg,copper tail
sootywing\060.jpg,sootywing
orange oakleaf\073.jpg,orange oakleaf
ulyses\049.jpg,ulyses
sootywing\014.jpg,sootywing
malachite\024.jpg,malachite
peacock\037.jpg,peacock
painted lady\049.jpg,painted lady
southern dogface\047.jpg,southern dogface
banded peacock\064.jpg,banded peacock
large marble\053.jpg,large marble
orchard swallow\030.jpg,orchard swallow
orange tip\061.jpg,orange tip
adonis\076.jpg,adonis
paper kite\003.jpg,paper kite
wood satyr\008.jpg,wood satyr
painted lady\046.jpg,painted lady
banded peacock\008.jpg,banded peacock
question mark\044.jpg,question mark
sixspot burnet\038.jpg,sixspot burnet
southern dogface\019.jpg,southern dogface
grey hairstreak\079.jpg,grey hairstreak
grey hairstreak\076.jpg,grey hairstreak
orchard swallow\033.jpg,orchard swallow
ulyses\010.jpg,ulyses
metalmark\072.jpg,metalmark
paper kite\067.jpg,paper kite
banded peacock\026.jpg,banded peacock
ulyses\027.jpg,ulyses
mangrove skipper\072.jpg,mangrove skipper
chestnut\042.jpg,chestnut
peacock\024.jpg,peacock
chestnut\036.jpg,chestnut
julia\061.jpg,julia
morning cloak\008.jpg,morning cloak
purple hairstreak\036.jpg,purple hairstreak
two barred flasher\067.jpg,two barred flasher
peacock\066.jpg,peacock
orange tip\009.jpg,orange tip
metalmark\096.jpg,metalmark
red spotted purple\081.jpg,red spotted purple
sootywing\027.jpg,sootywing
silver spot skipper\016.jpg,silver spot skipper
cabbage white\046.jpg,cabbage white
black hairstreak\080.jpg,black hairstreak
pine white\069.jpg,pine white
wood satyr\059.jpg,wood satyr
pipevine swallow\027.jpg,pipevine swallow
straited queen\012.jpg,straited queen
beckers white\060.jpg,beckers white
question mark\080.jpg,question mark
mangrove skipper\001.jpg,mangrove skipper
wood satyr\056.jpg,wood satyr
yellow swallow tail\030.jpg,yellow swallow tail
viceroy\045.jpg,viceroy
copper tail\016.jpg,copper tail
yellow swallow tail\060.jpg,yellow swallow tail
ulyses\005.jpg,ulyses
crimson patch\081.jpg,crimson patch
an 88\051.jpg,an 88
paper kite\021.jpg,paper kite
skipper\002.jpg,skipper
zebra long wing\048.jpg,zebra long wing
purple hairstreak\044.jpg,purple hairstreak
morning cloak\010.jpg,morning cloak
great eggfly\021.jpg,great eggfly
julia\016.jpg,julia
wood satyr\028.jpg,wood satyr
metalmark\051.jpg,metalmark
sootywing\077.jpg,sootywing
great eggfly\065.jpg,great eggfly
eastern coma\065.jpg,eastern coma
peacock\058.jpg,peacock
viceroy\070.jpg,viceroy
monarch\070.jpg,monarch
ulyses\006.jpg,ulyses
metalmark\083.jpg,metalmark
crimson patch\072.jpg,crimson patch
banded peacock\056.jpg,banded peacock
pipevine swallow\071.jpg,pipevine swallow
crimson patch\015.jpg,crimson patch
red admiral\009.jpg,red admiral
wood satyr\060.jpg,wood satyr
red spotted purple\001.jpg,red spotted purple
large marble\052.jpg,large marble
julia\037.jpg,julia
orange oakleaf\065.jpg,orange oakleaf
adonis\051.jpg,adonis
an 88\034.jpg,an 88
orchard swallow\071.jpg,orchard swallow
two barred flasher\007.jpg,two barred flasher
two barred flasher\027.jpg,two barred flasher
clodius parnassian\023.jpg,clodius parnassian
orange oakleaf\024.jpg,orange oakleaf
painted lady\017.jpg,painted lady
two barred flasher\053.jpg,two barred flasher
metalmark\088.jpg,metalmark
morning cloak\023.jpg,morning cloak
painted lady\034.jpg,painted lady
painted lady\091.jpg,painted lady
morning cloak\046.jpg,morning cloak
an 88\060.jpg,an 88
purple hairstreak\010.jpg,purple hairstreak
red spotted purple\061.jpg,red spotted purple
morning cloak\021.jpg,morning cloak
cabbage white\037.jpg,cabbage white
red admiral\021.jpg,red admiral
julia\054.jpg,julia
morning cloak\018.jpg,morning cloak
wood satyr\091.jpg,wood satyr
clouded sulphur\032.jpg,clouded sulphur
malachite\013.jpg,malachite
crecent\047.jpg,crecent
two barred flasher\036.jpg,two barred flasher
paper kite\046.jpg,paper kite
red spotted purple\036.jpg,red spotted purple
an 88\040.jpg,an 88
black hairstreak\067.jpg,black hairstreak
yellow swallow tail\043.jpg,yellow swallow tail
painted lady\081.jpg,painted lady
sixspot burnet\071.jpg,sixspot burnet
julia\064.jpg,julia
cabbage white\066.jpg,cabbage white
wood satyr\010.jpg,wood satyr
pipevine swallow\081.jpg,pipevine swallow
crimson patch\000.jpg,crimson patch
wood satyr\005.jpg,wood satyr
red spotted purple\009.jpg,red spotted purple
zebra long wing\045.jpg,zebra long wing
clouded sulphur\020.jpg,clouded sulphur
wood satyr\025.jpg,wood satyr
american snoot\042.jpg,american snoot
painted lady\033.jpg,painted lady
beckers white\067.jpg,beckers white
zebra long wing\066.jpg,zebra long wing
gold banded\063.jpg,gold banded
great eggfly\022.jpg,great eggfly
gold banded\023.jpg,gold banded
mangrove skipper\049.jpg,mangrove skipper
zebra long wing\000.jpg,zebra long wing
peacock\049.jpg,peacock
adonis\044.jpg,adonis
skipper\099.jpg,skipper
malachite\003.jpg,malachite
crecent\044.jpg,crecent
pipevine swallow\060.jpg,pipevine swallow
beckers white\062.jpg,beckers white
skipper\068.jpg,skipper
straited queen\072.jpg,straited queen
black hairstreak\055.jpg,black hairstreak
silver spot skipper\070.jpg,silver spot skipper
silver spot skipper\084.jpg,silver spot skipper
scarce swallow\078.jpg,scarce swallow
pipevine swallow\012.jpg,pipevine swallow
copper tail\113.jpg,copper tail
scarce swallow\041.jpg,scarce swallow
crimson patch\012.jpg,crimson patch
clouded sulphur\067.jpg,clouded sulphur
two barred flasher\047.jpg,two barred flasher
indra swallow\016.jpg,indra swallow
malachite\007.jpg,malachite
crecent\011.jpg,crecent
southern dogface\063.jpg,southern dogface
painted lady\094.jpg,painted lady
morning cloak\045.jpg,morning cloak
straited queen\068.jpg,straited queen
southern dogface\075.jpg,southern dogface
chestnut\063.jpg,chestnut
monarch\009.jpg,monarch
adonis\015.jpg,adonis
gold banded\088.jpg,gold banded
american snoot\087.jpg,american snoot
large marble\005.jpg,large marble
great eggfly\069.jpg,great eggfly
chestnut\075.jpg,chestnut
clouded sulphur\023.jpg,clouded sulphur
red admiral\059.jpg,red admiral
zebra long wing\032.jpg,zebra long wing
adonis\066.jpg,adonis
clodius parnassian\039.jpg,clodius parnassian
silver spot skipper\025.jpg,silver spot skipper
clouded sulphur\025.jpg,clouded sulphur
crecent\046.jpg,crecent
orange tip\042.jpg,orange tip
skipper\120.jpg,skipper
morning cloak\005.jpg,morning cloak
orange tip\036.jpg,orange tip
large marble\064.jpg,large marble
sixspot burnet\033.jpg,sixspot burnet
sixspot burnet\007.jpg,sixspot burnet
cabbage white\050.jpg,cabbage white
yellow swallow tail\040.jpg,yellow swallow tail
sootywing\012.jpg,sootywing
cabbage white\003.jpg,cabbage white
large marble\029.jpg,large marble
eastern coma\007.jpg,eastern coma
yellow swallow tail\047.jpg,yellow swallow tail
adonis\026.jpg,adonis
black hairstreak\007.jpg,black hairstreak
pipevine swallow\078.jpg,pipevine swallow
question mark\072.jpg,question mark
red admiral\080.jpg,red admiral
sootywing\019.jpg,sootywing
crimson patch\016.jpg,crimson patch
sootywing\112.jpg,sootywing
metalmark\020.jpg,metalmark
pine white\021.jpg,pine white
crimson patch\090.jpg,crimson patch
purple hairstreak\090.jpg,purple hairstreak
chestnut\011.jpg,chestnut
copper tail\061.jpg,copper tail
sootywing\039.jpg,sootywing
yellow swallow tail\052.jpg,yellow swallow tail
crecent\050.jpg,crecent
question mark\051.jpg,question mark
american snoot\043.jpg,american snoot
paper kite\075.jpg,paper kite
yellow swallow tail\050.jpg,yellow swallow tail
sootywing\023.jpg,sootywing
chestnut\058.jpg,chestnut
clodius parnassian\033.jpg,clodius parnassian
crecent\025.jpg,crecent
purple hairstreak\017.jpg,purple hairstreak
adonis\000.jpg,adonis
great eggfly\012.jpg,great eggfly
banded peacock\058.jpg,banded peacock
peacock\041.jpg,peacock
wood satyr\076.jpg,wood satyr
large marble\049.jpg,large marble
cabbage white\063.jpg,cabbage white
peacock\016.jpg,peacock
clouded sulphur\009.jpg,clouded sulphur
purple hairstreak\001.jpg,purple hairstreak
viceroy\037.jpg,viceroy
question mark\097.jpg,question mark
julia\081.jpg,julia
orchard swallow\017.jpg,orchard swallow
morning cloak\001.jpg,morning cloak
indra swallow\043.jpg,indra swallow
sootywing\114.jpg,sootywing
scarce swallow\107.jpg,scarce swallow
beckers white\001.jpg,beckers white
grey hairstreak\065.jpg,grey hairstreak
red admiral\081.jpg,red admiral
great eggfly\045.jpg,great eggfly
large marble\060.jpg,large marble
painted lady\036.jpg,painted lady
beckers white\080.jpg,beckers white
pine white\001.jpg,pine white
question mark\071.jpg,question mark
gold banded\083.jpg,gold banded
southern dogface\038.jpg,southern dogface
silver spot skipper\013.jpg,silver spot skipper
gold banded\092.jpg,gold banded
peacock\034.jpg,peacock
yellow swallow tail\013.jpg,yellow swallow tail
viceroy\050.jpg,viceroy
great eggfly\053.jpg,great eggfly
question mark\049.jpg,question mark
yellow swallow tail\071.jpg,yellow swallow tail
julia\088.jpg,julia
julia\098.jpg,julia
zebra long wing\013.jpg,zebra long wing
indra swallow\097.jpg,indra swallow
red admiral\043.jpg,red admiral
painted lady\070.jpg,painted lady
metalmark\089.jpg,metalmark
cabbage white\015.jpg,cabbage white
straited queen\007.jpg,straited queen
clodius parnassian\003.jpg,clodius parnassian
viceroy\006.jpg,viceroy
adonis\012.jpg,adonis
ulyses\062.jpg,ulyses
mangrove skipper\078.jpg,mangrove skipper
skipper\094.jpg,skipper
chestnut\010.jpg,chestnut
sootywing\082.jpg,sootywing
silver spot skipper\063.jpg,silver spot skipper
orange tip\022.jpg,orange tip
purple hairstreak\095.jpg,purple hairstreak
viceroy\071.jpg,viceroy
ulyses\032.jpg,ulyses
great eggfly\052.jpg,great eggfly
adonis\047.jpg,adonis
american snoot\003.jpg,american snoot
sixspot burnet\048.jpg,sixspot burnet
grey hairstreak\056.jpg,grey hairstreak
an 88\037.jpg,an 88
malachite\093.jpg,malachite
mangrove skipper\012.jpg,mangrove skipper
morning cloak\054.jpg,morning cloak
black hairstreak\013.jpg,black hairstreak
peacock\057.jpg,peacock
sootywing\102.jpg,sootywing
red admiral\030.jpg,red admiral
question mark\058.jpg,question mark
black hairstreak\018.jpg,black hairstreak
great eggfly\095.jpg,great eggfly
scarce swallow\057.jpg,scarce swallow
malachite\058.jpg,malachite
gold banded\018.jpg,gold banded
painted lady\089.jpg,painted lady
zebra long wing\059.jpg,zebra long wing
peacock\042.jpg,peacock
morning cloak\057.jpg,morning cloak
viceroy\056.jpg,viceroy
clouded sulphur\030.jpg,clouded sulphur
american snoot\081.jpg,american snoot
indra swallow\074.jpg,indra swallow
paper kite\034.jpg,paper kite
crimson patch\077.jpg,crimson patch
an 88\050.jpg,an 88
red admiral\070.jpg,red admiral
paper kite\036.jpg,paper kite
julia\072.jpg,julia
gold banded\046.jpg,gold banded
viceroy\042.jpg,viceroy
metalmark\056.jpg,metalmark
metalmark\049.jpg,metalmark
copper tail\067.jpg,copper tail
grey hairstreak\017.jpg,grey hairstreak
peacock\002.jpg,peacock
crecent\003.jpg,crecent
southern dogface\036.jpg,southern dogface
orange tip\055.jpg,orange tip
red admiral\031.jpg,red admiral
american snoot\041.jpg,american snoot
scarce swallow\026.jpg,scarce swallow
orange tip\019.jpg,orange tip
grey hairstreak\045.jpg,grey hairstreak
painted lady\007.jpg,painted lady
cabbage white\004.jpg,cabbage white
crimson patch\056.jpg,crimson patch
metalmark\047.jpg,metalmark
red spotted purple\074.jpg,red spotted purple
pine white\030.jpg,pine white
adonis\057.jpg,adonis
cabbage white\042.jpg,cabbage white
mangrove skipper\038.jpg,mangrove skipper
great eggfly\011.jpg,great eggfly
grey hairstreak\029.jpg,grey hairstreak
scarce swallow\066.jpg,scarce swallow
large marble\054.jpg,large marble
gold banded\017.jpg,gold banded
grey hairstreak\033.jpg,grey hairstreak
ulyses\014.jpg,ulyses
grey hairstreak\034.jpg,grey hairstreak
chestnut\059.jpg,chestnut
southern dogface\055.jpg,southern dogface
clodius parnassian\005.jpg,clodius parnassian
eastern coma\059.jpg,eastern coma
julia\022.jpg,julia
chestnut\067.jpg,chestnut
yellow swallow tail\070.jpg,yellow swallow tail
sixspot burnet\004.jpg,sixspot burnet
great eggfly\009.jpg,great eggfly
question mark\059.jpg,question mark
crimson patch\052.jpg,crimson patch
black hairstreak\028.jpg,black hairstreak
sootywing\091.jpg,sootywing
adonis\068.jpg,adonis
skipper\085.jpg,skipper
southern dogface\006.jpg,southern dogface
straited queen\015.jpg,straited queen
beckers white\091.jpg,beckers white
straited queen\053.jpg,straited queen
zebra long wing\040.jpg,zebra long wing
chestnut\049.jpg,chestnut
scarce swallow\109.jpg,scarce swallow
mangrove skipper\065.jpg,mangrove skipper
crecent\024.jpg,crecent
copper tail\026.jpg,copper tail
black hairstreak\016.jpg,black hairstreak
clouded sulphur\082.jpg,clouded sulphur
zebra long wing\004.jpg,zebra long wing
skipper\031.jpg,skipper
clouded sulphur\061.jpg,clouded sulphur
julia\045.jpg,julia
adonis\030.jpg,adonis
cabbage white\049.jpg,cabbage white
southern dogface\041.jpg,southern dogface
wood satyr\090.jpg,wood satyr
mangrove skipper\056.jpg,mangrove skipper
julia\067.jpg,julia
orange oakleaf\000.jpg,orange oakleaf
straited queen\023.jpg,straited queen
morning cloak\044.jpg,morning cloak
straited queen\056.jpg,straited queen
zebra long wing\072.jpg,zebra long wing
two barred flasher\066.jpg,two barred flasher
painted lady\058.jpg,painted lady
grey hairstreak\038.jpg,grey hairstreak
skipper\108.jpg,skipper
sixspot burnet\077.jpg,sixspot burnet
monarch\022.jpg,monarch
julia\049.jpg,julia
cabbage white\073.jpg,cabbage white
scarce swallow\022.jpg,scarce swallow
peacock\072.jpg,peacock
clouded sulphur\026.jpg,clouded sulphur
clodius parnassian\009.jpg,clodius parnassian
pine white\018.jpg,pine white
crimson patch\047.jpg,crimson patch
purple hairstreak\039.jpg,purple hairstreak
zebra long wing\094.jpg,zebra long wing
sixspot burnet\079.jpg,sixspot burnet
an 88\063.jpg,an 88
two barred flasher\055.jpg,two barred flasher
black hairstreak\078.jpg,black hairstreak
red spotted purple\028.jpg,red spotted purple
orchard swallow\008.jpg,orchard swallow
gold banded\025.jpg,gold banded
adonis\049.jpg,adonis
question mark\001.jpg,question mark
question mark\086.jpg,question mark
grey hairstreak\030.jpg,grey hairstreak
red spotted purple\005.jpg,red spotted purple
painted lady\060.jpg,painted lady
orange tip\025.jpg,orange tip
metalmark\097.jpg,metalmark
orange oakleaf\017.jpg,orange oakleaf
pipevine swallow\061.jpg,pipevine swallow
cabbage white\064.jpg,cabbage white
mangrove skipper\048.jpg,mangrove skipper
beckers white\005.jpg,beckers white
banded peacock\043.jpg,banded peacock
peacock\000.jpg,peacock
painted lady\069.jpg,painted lady
adonis\025.jpg,adonis
crecent\040.jpg,crecent
eastern coma\052.jpg,eastern coma
monarch\042.jpg,monarch
skipper\001.jpg,skipper
viceroy\027.jpg,viceroy
orange tip\067.jpg,orange tip
straited queen\046.jpg,straited queen
orange tip\075.jpg,orange tip
orange tip\012.jpg,orange tip
silver spot skipper\003.jpg,silver spot skipper
sootywing\063.jpg,sootywing
eastern coma\077.jpg,eastern coma
sootywing\001.jpg,sootywing
question mark\023.jpg,question mark
eastern coma\075.jpg,eastern coma
grey hairstreak\077.jpg,grey hairstreak
ulyses\018.jpg,ulyses
southern dogface\015.jpg,southern dogface
large marble\047.jpg,large marble
mangrove skipper\067.jpg,mangrove skipper
paper kite\052.jpg,paper kite
southern dogface\060.jpg,southern dogface
monarch\059.jpg,monarch
clouded sulphur\028.jpg,clouded sulphur
crecent\009.jpg,crecent
large marble\046.jpg,large marble
mangrove skipper\058.jpg,mangrove skipper
indra swallow\040.jpg,indra swallow
orange tip\003.jpg,orange tip
indra swallow\035.jpg,indra swallow
monarch\037.jpg,monarch
yellow swallow tail\067.jpg,yellow swallow tail
orange oakleaf\052.jpg,orange oakleaf
julia\062.jpg,julia
metalmark\002.jpg,metalmark
two barred flasher\062.jpg,two barred flasher
question mark\036.jpg,question mark
copper tail\092.jpg,copper tail
clodius parnassian\000.jpg,clodius parnassian
large marble\017.jpg,large marble
purple hairstreak\099.jpg,purple hairstreak
yellow swallow tail\082.jpg,yellow swallow tail
clouded sulphur\034.jpg,clouded sulphur
clodius parnassian\022.jpg,clodius parnassian
indra swallow\013.jpg,indra swallow
metalmark\085.jpg,metalmark
black hairstreak\034.jpg,black hairstreak
sootywing\062.jpg,sootywing
yellow swallow tail\039.jpg,yellow swallow tail
metalmark\063.jpg,metalmark
great eggfly\054.jpg,great eggfly
black hairstreak\057.jpg,black hairstreak
viceroy\016.jpg,viceroy
chestnut\023.jpg,chestnut
black hairstreak\000.jpg,black hairstreak
orchard swallow\058.jpg,orchard swallow
monarch\005.jpg,monarch
silver spot skipper\020.jpg,silver spot skipper
american snoot\001.jpg,american snoot
peacock\030.jpg,peacock
southern dogface\013.jpg,southern dogface
malachite\009.jpg,malachite
copper tail\011.jpg,copper tail
painted lady\016.jpg,painted lady
sootywing\051.jpg,sootywing
american snoot\048.jpg,american snoot
red spotted purple\029.jpg,red spotted purple
silver spot skipper\000.jpg,silver spot skipper
yellow swallow tail\053.jpg,yellow swallow tail
two barred flasher\069.jpg,two barred flasher
eastern coma\011.jpg,eastern coma
morning cloak\026.jpg,morning cloak
skipper\003.jpg,skipper
banded peacock\070.jpg,banded peacock
southern dogface\011.jpg,southern dogface
skipper\087.jpg,skipper
orange tip\052.jpg,orange tip
american snoot\046.jpg,american snoot
peacock\052.jpg,peacock
straited queen\081.jpg,straited queen
straited queen\024.jpg,straited queen
red spotted purple\062.jpg,red spotted purple
orange tip\080.jpg,orange tip
straited queen\010.jpg,straited queen
silver spot skipper\083.jpg,silver spot skipper
yellow swallow tail\078.jpg,yellow swallow tail
paper kite\029.jpg,paper kite
sixspot burnet\035.jpg,sixspot burnet
indra swallow\065.jpg,indra swallow
zebra long wing\002.jpg,zebra long wing
orange oakleaf\069.jpg,orange oakleaf
southern dogface\027.jpg,southern dogface
zebra long wing\070.jpg,zebra long wing
copper tail\105.jpg,copper tail
american snoot\005.jpg,american snoot
grey hairstreak\066.jpg,grey hairstreak
red admiral\004.jpg,red admiral
wood satyr\079.jpg,wood satyr
pipevine swallow\070.jpg,pipevine swallow
painted lady\028.jpg,painted lady
sixspot burnet\060.jpg,sixspot burnet
indra swallow\057.jpg,indra swallow
beckers white\015.jpg,beckers white
pipevine swallow\046.jpg,pipevine swallow
skipper\069.jpg,skipper
metalmark\062.jpg,metalmark
pipevine swallow\002.jpg,pipevine swallow
two barred flasher\052.jpg,two barred flasher
banded peacock\063.jpg,banded peacock
question mark\095.jpg,question mark
sootywing\109.jpg,sootywing
morning cloak\020.jpg,morning cloak
copper tail\080.jpg,copper tail
zebra long wing\035.jpg,zebra long wing
purple hairstreak\086.jpg,purple hairstreak
banded peacock\062.jpg,banded peacock
yellow swallow tail\014.jpg,yellow swallow tail
ulyses\001.jpg,ulyses
pine white\015.jpg,pine white
black hairstreak\048.jpg,black hairstreak
indra swallow\024.jpg,indra swallow
sixspot burnet\068.jpg,sixspot burnet
great eggfly\063.jpg,great eggfly
grey hairstreak\000.jpg,grey hairstreak
straited queen\019.jpg,straited queen
pipevine swallow\077.jpg,pipevine swallow
clouded sulphur\012.jpg,clouded sulphur
two barred flasher\001.jpg,two barred flasher
monarch\028.jpg,monarch
painted lady\053.jpg,painted lady
silver spot skipper\015.jpg,silver spot skipper
adonis\024.jpg,adonis
crecent\002.jpg,crecent
ulyses\002.jpg,ulyses
scarce swallow\054.jpg,scarce swallow
clouded sulphur\022.jpg,clouded sulphur
cabbage white\079.jpg,cabbage white
yellow swallow tail\038.jpg,yellow swallow tail
straited queen\052.jpg,straited queen
adonis\010.jpg,adonis
pipevine swallow\018.jpg,pipevine swallow
peacock\003.jpg,peacock
orange tip\018.jpg,orange tip
crimson patch\086.jpg,crimson patch
great eggfly\029.jpg,great eggfly
mangrove skipper\027.jpg,mangrove skipper
purple hairstreak\084.jpg,purple hairstreak
chestnut\027.jpg,chestnut
morning cloak\003.jpg,morning cloak
purple hairstreak\018.jpg,purple hairstreak
sixspot burnet\076.jpg,sixspot burnet
eastern coma\026.jpg,eastern coma
straited queen\006.jpg,straited queen
indra swallow\059.jpg,indra swallow
orchard swallow\054.jpg,orchard swallow
black hairstreak\043.jpg,black hairstreak
orange oakleaf\016.jpg,orange oakleaf
sootywing\024.jpg,sootywing
malachite\030.jpg,malachite
large marble\032.jpg,large marble
indra swallow\075.jpg,indra swallow
sootywing\011.jpg,sootywing
red admiral\058.jpg,red admiral
pipevine swallow\066.jpg,pipevine swallow
viceroy\008.jpg,viceroy
american snoot\049.jpg,american snoot
clouded sulphur\006.jpg,clouded sulphur
question mark\035.jpg,question mark
skipper\047.jpg,skipper
eastern coma\047.jpg,eastern coma
beckers white\081.jpg,beckers white
pine white\068.jpg,pine white
zebra long wing\083.jpg,zebra long wing
metalmark\093.jpg,metalmark
adonis\067.jpg,adonis
cabbage white\074.jpg,cabbage white
copper tail\023.jpg,copper tail
viceroy\022.jpg,viceroy
southern dogface\066.jpg,southern dogface
copper tail\036.jpg,copper tail
crimson patch\045.jpg,crimson patch
red spotted purple\030.jpg,red spotted purple
crimson patch\061.jpg,crimson patch
ulyses\057.jpg,ulyses
question mark\034.jpg,question mark
ulyses\045.jpg,ulyses
clodius parnassian\066.jpg,clodius parnassian
julia\021.jpg,julia
malachite\079.jpg,malachite
mangrove skipper\010.jpg,mangrove skipper
silver spot skipper\030.jpg,silver spot skipper
crimson patch\048.jpg,crimson patch
black hairstreak\049.jpg,black hairstreak
pine white\041.jpg,pine white
scarce swallow\013.jpg,scarce swallow
question mark\037.jpg,question mark
great eggfly\091.jpg,great eggfly
copper tail\081.jpg,copper tail
indra swallow\007.jpg,indra swallow
wood satyr\066.jpg,wood satyr
question mark\004.jpg,question mark
american snoot\078.jpg,american snoot
chestnut\005.jpg,chestnut
orchard swallow\022.jpg,orchard swallow
red spotted purple\080.jpg,red spotted purple
monarch\024.jpg,monarch
orange oakleaf\043.jpg,orange oakleaf
zebra long wing\086.jpg,zebra long wing
great eggfly\092.jpg,great eggfly
orange tip\014.jpg,orange tip
an 88\014.jpg,an 88
black hairstreak\062.jpg,black hairstreak
sixspot burnet\027.jpg,sixspot burnet
mangrove skipper\071.jpg,mangrove skipper
paper kite\001.jpg,paper kite
indra swallow\095.jpg,indra swallow
skipper\012.jpg,skipper
straited queen\044.jpg,straited queen
yellow swallow tail\059.jpg,yellow swallow tail
sootywing\029.jpg,sootywing
crimson patch\038.jpg,crimson patch
grey hairstreak\006.jpg,grey hairstreak
banded peacock\007.jpg,banded peacock
purple hairstreak\048.jpg,purple hairstreak
question mark\052.jpg,question mark
zebra long wing\056.jpg,zebra long wing
monarch\066.jpg,monarch
eastern coma\048.jpg,eastern coma
orange oakleaf\019.jpg,orange oakleaf
crimson patch\062.jpg,crimson patch
sixspot burnet\061.jpg,sixspot burnet
monarch\050.jpg,monarch
question mark\068.jpg,question mark
black hairstreak\020.jpg,black hairstreak
mangrove skipper\039.jpg,mangrove skipper
scarce swallow\073.jpg,scarce swallow
clouded sulphur\075.jpg,clouded sulphur
an 88\054.jpg,an 88
metalmark\073.jpg,metalmark
american snoot\075.jpg,american snoot
malachite\078.jpg,malachite
scarce swallow\051.jpg,scarce swallow
malachite\075.jpg,malachite
adonis\019.jpg,adonis
paper kite\040.jpg,paper kite
american snoot\029.jpg,american snoot
red admiral\069.jpg,red admiral
peacock\064.jpg,peacock
clouded sulphur\010.jpg,clouded sulphur
silver spot skipper\081.jpg,silver spot skipper
large marble\050.jpg,large marble
eastern coma\022.jpg,eastern coma
indra swallow\061.jpg,indra swallow
metalmark\090.jpg,metalmark
skipper\058.jpg,skipper
pipevine swallow\031.jpg,pipevine swallow
peacock\035.jpg,peacock
red admiral\010.jpg,red admiral
yellow swallow tail\085.jpg,yellow swallow tail
clouded sulphur\040.jpg,clouded sulphur
crecent\034.jpg,crecent
yellow swallow tail\086.jpg,yellow swallow tail
crimson patch\018.jpg,crimson patch
gold banded\050.jpg,gold banded
wood satyr\033.jpg,wood satyr
black hairstreak\074.jpg,black hairstreak
adonis\084.jpg,adonis
crimson patch\002.jpg,crimson patch
scarce swallow\112.jpg,scarce swallow
